20	19	88.6	8.9	143.8	6.2	29.3	6	7.5	4.6	7.5	9.9	5.6	7.5	2.9	9.7	8	5	2.6	2.6	24.8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	20	21	20	20	15	17	16	12	14	17	13	11	10	8	10	10	20	20	20
1800	2800	2483	2580	2483	2580	2483	2580	2800	2580	2800	2483	2460	2560	2460	2483	2460	2483	1380	1380	2580
4.60E+07	1.07E+10	2.60E+09	1.57E+10	2.60E+09	1.57E+10	2.60E+09	1.57E+10	1.07E+10	1.57E+10	1.07E+10	2.60E+09	1.32E+10	2.11E+10	1.32E+10	2.60E+09	1.32E+10	2.60E+09	1.20E+09	1.20E+09	1.62E+10
0.44	0.18	0.58	0.27	0.58	0.27	0.58	0.27	0.18	0.27	0.18	0.58	0.28	0.27	0.28	0.58	0.28	0.58	0.15	0.15	9.75
3.00E+04	1.14E+07	2.80E+06	9.10E+06	2.80E+06	9.10E+06	2.80E+06	9.10E+06	1.14E+07	9.10E+06	1.14E+07	2.80E+06	7.10E+06	1.24E+07	7.10E+06	2.80E+06	7.10E+06	2.80E+06	1.50E+06	1.50E+06	5.30E+06
1.60E+04	6.70E+06	2.48E+06	1.02E+07	2.48E+06	1.02E+07	2.48E+06	1.02E+07	6.70E+06	1.02E+07	6.70E+06	2.48E+06	7.20E+06	1.31E+07	7.20E+06	2.48E+06	7.20E+06	2.48E+06	5.00E+05	5.00E+05	3.15E+06
14	38	39.4	35	39.4	35	39.4	35	38	35	38	39.4	36	30.6	36	39.4	36	39.4	28	28	35
2.00E+09	5.00E+10	6.00E+10	2.00E+10	6.00E+10	2.00E+10	6.00E+10	2.00E+10	5.00E+10	2.00E+10	5.00E+10	6.00E+10	3.50E+10	3.00E+10	3.50E+10	6.00E+10	3.50E+10	6.00E+10	5.00E+09	5.00E+09	1.00E+11
1.00E+07	3.00E+09	4.00E+09	6.00E+08	4.00E+09	6.00E+08	4.00E+09	6.00E+08	3.00E+09	6.00E+08	3.00E+09	4.00E+09	1.40E+09	1.60E+09	1.40E+09	4.00E+09	1.40E+09	4.00E+09	8.00E+08	8.00E+08	1.00E+10
0	200000	76370	200142	67737	339628	61723	368049	1076009	351549	1086129	3891	-76908	279992	-84408	71	-86639	1911	-4299789	-4299789	442611
0	200000	250720	321142	242087	460628	236073	489049	1076009	472549	1086129	178241	110092	411992	102592	174421	100361	176261	-3518789	-3518789	563611
0	-20	-39	-127.6	-136.5	-280.3	-286.5	-315.8	-321.8	-329.3	-333.9	-341.4	-351.3	-356.9	-364.4	-367.3	-377	-385	-390	-392.6	-395.2
